"StromalScore"	"ImmuneScore"	"ESTIMATEScore"	"TumorPurity"
"MB.0362"	940.74723657093	875.74539444978	1816.49263102071	0.643581940774686
"MB.0346"	-164.154532072228	487.769590594536	323.615058522308	0.794574333991507
"MB.0386"	1180.03962994713	1147.98384713826	2328.02347708539	0.584352792530161
"MB.0574"	573.910305959329	773.081550307379	1346.99185626671	0.694760131905806
"MB.0503"	939.747105529952	1080.24160340976	2019.98870893971	0.620435759398284
"MB.0641"	1567.82225736015	1890.92341819742	3458.74567555756	0.442249633345474
"MB.0201"	1133.56175722681	796.979083732262	1930.54084095907	0.63067921138677
"MB.0218"	879.861580132628	498.409455373421	1378.27103550605	0.69145047998385
"MB.0316"	497.36331408907	2179.01944998656	2676.38276407563	0.542110936338863
"MB.0189"	1434.77924724004	1550.8618000486	2985.64104728864	0.503419376759459
"MB.0891"	1300.99316393892	1224.16015649773	2525.15332043665	0.560629583127181
"MB.0658"	994.896370475113	2019.25330816071	3014.14967863582	0.499799190526121
"MB.0899"	1127.58179790609	1475.82188286595	2603.40368077205	0.551081432446315
"MB.0605"	1247.08963391867	1266.90512441134	2513.99475833001	0.561985160245764
"MB.0258"	763.951247050751	1330.23931162198	2094.19055867273	0.611857018648927
"MB.0506"	762.144340106222	1248.48848604094	2010.63282614716	0.621512221985607
"MB.0420"	1082.78208656182	1146.63918547006	2229.42127203188	0.59603654754472
"MB.0223"	851.268596993356	1442.98674901244	2294.25534600579	0.588368014893438
"MB.0445"	706.890694038154	928.297608791209	1635.18830282936	0.663720903223514
"MB.0199"	1023.11033388578	1357.40332487317	2380.51365875895	0.578082944384815
"MB.0517"	609.077288399086	306.44381022242	915.521098621507	0.738889791160344
"MB.0155"	1651.44172753934	1955.72313726303	3607.16486480237	0.422606346435603
"MB.0428"	766.83300330722	2310.29447646613	3077.12747977335	0.491770982556297
"MB.0117"	917.987296284448	1419.72241478079	2337.70971106523	0.583198390201397
"MB.0906"	1195.08392034379	2283.02276188651	3478.1066822303	0.439698909567293
"MB.0249"	601.265619868552	1282.02221592476	1883.28783579331	0.636046785540391
"MB.0660"	908.603578815756	1239.39856964294	2148.00214845869	0.605590202185627
