Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
ADAM28,AIM2,ADRM1,ABCD1,ABAT,CYP27A1,ABHD3,ACTN4,ATM,ACAP1,GIPR,ACP5,CD22,ACADM,AIF1,ADAMTS3,CCR2,AICDA,ASGR2,AKT3,BTN2A2,CREB5,CBX6,CCL3L1,B3GAT1,CD70,IL17A,ASB2
CD180,BIRC3,AHSA1,C1QC,C11orf75,DDX55,AHNAK,ADAM12,CASP3,APOL3,KRT18P50,AQP9,CYBB,AHCYL1,CCL1,CPA3,CD14,CCNA2,CFP,AXL,CD101,CDA,DAB2,CD72,CDK5R1,TBX21,IL17RA,CSRP2
CD79B,BRIP1,C1GALT1C1,CAPG,C5orf15,DYRK2,ANXA2P2,ADCY9,CASQ1,ARHGAP10,LRMP,BTN3A2,FAM129C,ALDH1A2,CCL14,CMA1,CD2,CDKN3,ASGR1,BST2,CD109,CHST15,DDX17,CLEC5A,PDCD1,ADAM8,C2CD4A,DAPK1
BLK,CCL20,CCT6B,CCL3L3,CDHR1,RPL37A,AQP3,F13A1,CD300E,ATP10D,FOSB,C1orf54,FCRL1,ALDH3A2,CCL23,CTSG,CD86,CLCN5,CD1D,CDH2,CNPY3,S100A12,HIGD1A,FOXP3,BCL6,AHCYL2,C2CD4B,DLC1
CD19,CCL4,CD37,CD207,DCAF12,NOTCH3,ATHL1,FCER1G,DARS,C3AR1,RRP12,CARD8,FCRL3,ALDH9A1,CCL26,ARHGAP15,CXCR4,ENPP1,UPK3A,CRTAM,CNPY4,APOBEC3A,IDH3A,ITGA4,CD200,ALCAM,CA2,DNAJC12
MS4A1,CCL5,CD3D,CD302,DYNLL1,AKR7A3,BMI1,FCGR3B,DOCK9,CCR5,GPR183,CCL18,FCRL5,ALOX15,CD300LB,CPM,FCGR2A,FCER1A,ACTG1,CSF2RA,CREB1,CASP5,IL3RA,L1CAM,CD83,B3GALNT1,CCDC65,DUSP6
TNFRSF17,CCNB1,CD3E,ATP5B,GPR137B,GPRC5C,BZW2,FGF7,EXOSC9,CD160,NR4A3,CD209,FCRLA,AMT,CNR1,FCN1,FCGR2B,FCRL4,ANXA5,CTSZ,CRTC2,MMP25,MAGED1,LIPA,CD84,BBS12,CEACAM3,GNAI1
IGHM,CCR7,CD3G,ATP5L,HCP5,GRIN1,CD63,FKBP4,EZH2,CD55,ST3GAL6,CD33,HDAC9,ARL1,CNR2,FTL,FCGR3A,MYC,ATP6V1B2,CXCL1,CRTC3,HAL,NUCB2,LRP1,FGF2,BST1,IL17C,LAMP3
GNG7,DUSP2,CD69,ATP6V1A,HDGFRP2,HLA-E,COL4A1,GLUD1,GDE1,CFLAR,DEPDC5,CD36,HLA-DQA1,ATIC,EIF1,HSPA6,FERMT3,RUNX2,CFL1,CYTH1,CSF2,C1orf183,OFD1,LRRC42,GPR18,CD151,IL17F,NRP2
